jo	Scots	A sweetheart; a darling.
jouk		See Juke — to bend the neck; to bow or duck the head.
joul		See Jowl — the cheek; the jaw.
joule		A unit of work which is equal to 107 units of work in the C.
joulemeter		An integrating wattmeter for measuring the energy in joules expended in an electric circuit or developed by a machine.
jounce		To jolt; to shake, especially by rough riding or by driving over obstructions.
journal		A diary; an account of daily transactions and events. Specifically: (a) (Bookkeeping) A book of accounts, in which is entered a condensed and grouped statement of the daily transactions.
journalism		The periodical collection and publication of current news; the business of managing, editing, or writing for, journals or newspapers; as, political journalism.
journalist		The conductor of a public journal, or one whose business it to write for a public journal; an editorial or other professional writer for a periodical.
journalistic		Pertaining to journals or to journalists; contained in, or characteristic of, the public journals; as journalistic literature or enterprise.
journalize		To enter or record in a journal or diary.
journey		Travel or passage from one place to another; hence, figuratively, a passage through life.
journey-bated	Obsolete	Worn out with journeying.
journeyer		One who journeys.
journeyman		Formerly, a man hired to work by the day; now, commonly, one who has mastered a handicraft or trade; -- distinguished from apprentice and from master workman.
journeywork		Originally, work done by the day; work done by a journeyman at his trade.
joust		To engage in mock combat on horseback, as two knights in the lists; to tilt.
jouster		One who jousts or tilts.
jove		The chief divinity of the ancient Romans; Jupiter.
jovial		Gay; merry; joyous; jolly; mirth-inspiring; hilarious; characterized by mirth or jollity; as, a jovial youth; a jovial company; a jovial poem.
jovialist		One who lives a jovial life.
joviality		The quality or state of being jovial.
jovially		In a jovial manner; merrily; gayly.
jovialness		Noisy mirth; joviality.
jovialty		Joviality.
jovian		Of or pertaining to Jove, or Jupiter (either the deity or the planet).
jovicentric		Revolving around the planet Jupiter; appearing as viewed from Jupiter.
jovinianist		An adherent to the doctrines of Jovinian, a monk of the fourth century, who denied the virginity of Mary, and opposed the asceticism of his time.
jowl	Obsolete	The cheek; the jaw.
jowler		A dog with large jowls, as the beagle.
jowter	Obsolete	A mounted peddler of fish; -- called also jouster.
joy		The passion or emotion excited by the acquisition or expectation of good; pleasurable feelings or emotions caused by success, good fortune, and the like, or by a rational prospect of possessing what we love or desire; gladness…
joyance		Enjoyment; gayety; festivity; joyfulness.
joyancy		Joyance.
joyful		Full of joy; having or causing joy; very glad; as, a joyful heart.
joyless		Not having joy; not causing joy; unenjoyable. -- Joy less*ness, n.
joyous		Glad; gay; merry; joyful; also, affording or inspiring joy; with of before the word or words expressing the cause of joy.
joysome		Causing joyfulness.
